20170204010305,7/1 ARM Jumbo,0.035
20170207174813,30-Year Fixed Rate,0.04375
20170207174813,30-Year Fixed-Rate FHA,0.0425
20170207174813,30-Year Fixed-Rate VA,0.03875
20170207174813,15-Year Fixed Rate,0.03625
20170207174813,7/1 ARM,0.0375
20170207174813,5/1 ARM,0.035
20170207174813,30-Year Fixed-Rate Jumbo,0.04125
20170207174813,15-Year Fixed-Rate Jumbo,0.03875
20170207174813,7/1 ARM Jumbo,0.035
20170209002300,30-Year Fixed Rate,0.0425
20170209002300,30-Year Fixed-Rate FHA,0.0425
20170209002300,30-Year Fixed-Rate VA,0.03875
20170209002300,15-Year Fixed Rate,0.035
20170209002300,7/1 ARM,0.03625
20170209002300,5/1 ARM,0.035
20170209002300,30-Year Fixed-Rate Jumbo,0.04125
20170209002300,15-Year Fixed-Rate Jumbo,0.03875
20170209002300,7/1 ARM Jumbo,0.035
20170211012636,30-Year Fixed Rate,0.04375
20170211012636,30-Year Fixed-Rate FHA,0.04375
20170211012636,30-Year Fixed-Rate VA,0.03875
20170211012636,15-Year Fixed Rate,0.03625
20170211012636,7/1 ARM,0.0375
20170211012636,5/1 ARM,0.03625
20170211012636,30-Year Fixed-Rate Jumbo,0.04125
20170211012636,15-Year Fixed-Rate Jumbo,0.03875
20170211012636,7/1 ARM Jumbo,0.035
20170211012636,30-Year Fixed Rate,0.04375
20170211012636,30-Year Fixed-Rate FHA,0.04375
20170211012636,30-Year Fixed-Rate VA,0.03875
20170211012636,15-Year Fixed Rate,0.03625
20170211012636,7/1 ARM,0.0375
20170211012636,5/1 ARM,0.03625
20170211012636,30-Year Fixed-Rate Jumbo,0.04125
20170211012636,15-Year Fixed-Rate Jumbo,0.03875
20170211012636,7/1 ARM Jumbo,0.035
20170213175109,30-Year Fixed Rate,0.0425
20170213175109,30-Year Fixed-Rate FHA,0.0425
20170213175109,30-Year Fixed-Rate VA,0.03875
20170213175109,15-Year Fixed Rate,0.035
20170213175109,7/1 ARM,0.0375
20170213175109,5/1 ARM,0.03625
20170213175109,30-Year Fixed-Rate Jumbo,0.04125
20170213175109,15-Year Fixed-Rate Jumbo,0.03875
20170213175109,7/1 ARM Jumbo,0.035
20170215184447,30-Year Fixed Rate,0.04375
20170215184447,30-Year Fixed-Rate FHA,0.04375
20170215184447,30-Year Fixed-Rate VA,0.04
20170215184447,15-Year Fixed Rate,0.03625
20170215184447,7/1 ARM,0.03875
20170215184447,5/1 ARM,0.03625
20170215184447,30-Year Fixed-Rate Jumbo,0.0425
20170215184447,15-Year Fixed-Rate Jumbo,0.04
20170215184447,7/1 ARM Jumbo,0.03625
20170216154544,30-Year Fixed Rate,0.04375
20170216154544,30-Year Fixed-Rate FHA,0.04375
20170216154544,30-Year Fixed-Rate VA,0.04
20170216154544,15-Year Fixed Rate,0.035
20170216154544,7/1 ARM,0.0375
20170216154544,5/1 ARM,0.03625
20170216154544,30-Year Fixed-Rate Jumbo,0.0425
20170216154544,15-Year Fixed-Rate Jumbo,0.04
20170216154544,7/1 ARM Jumbo,0.035
20170218015349,30-Year Fixed Rate,0.0425
20170218015349,30-Year Fixed-Rate FHA,0.0425
20170218015349,30-Year Fixed-Rate VA,0.03875
20170218015349,15-Year Fixed Rate,0.035
20170218015349,7/1 ARM,0.03625
20170218015349,5/1 ARM,0.03625
20170218015349,30-Year Fixed-Rate Jumbo,0.04125
20170218015349,15-Year Fixed-Rate Jumbo,0.03875
20170218015349,7/1 ARM Jumbo,0.035
20170218015349,30-Year Fixed Rate,0.0425
20170218015349,30-Year Fixed-Rate FHA,0.0425
20170218015349,30-Year Fixed-Rate VA,0.03875
20170218015349,15-Year Fixed Rate,0.035
20170218015349,7/1 ARM,0.03625
20170218015349,5/1 ARM,0.03625
20170218015349,30-Year Fixed-Rate Jumbo,0.04125
20170218015349,15-Year Fixed-Rate Jumbo,0.03875
20170218015349,7/1 ARM Jumbo,0.035
20170222114924,30-Year Fixed Rate,0.04375
20170222114924,30-Year Fixed-Rate FHA,0.04375
20170222114924,30-Year Fixed-Rate VA,0.04
20170222114924,15-Year Fixed Rate,0.035
20170222114924,7/1 ARM,0.0375
20170222114924,5/1 ARM,0.03625
20170222114924,30-Year Fixed-Rate Jumbo,0.04125
20170222114924,15-Year Fixed-Rate Jumbo,0.04
20170222114924,7/1 ARM Jumbo,0.035
20170225022834,30-Year Fixed Rate,0.0425
20170225022834,30-Year Fixed-Rate FHA,0.04125
20170225022834,30-Year Fixed-Rate VA,0.03875
20170225022834,15-Year Fixed Rate,0.035
